Unique Sort ID (800-53r5),SP 800-53 Rev 5 Control & Control Enhancement,Tailoring Decision,Unique Sort ID (IPD 800-171r3),SP 800-171 Rev 3 Security Requirement,Additional Tailoring ,
AT-03-00-02,"1. Before authorizing access to the system, information, or performing assigned duties, and [Assignment: organization-defined frequency] thereafter; and",CUI,03-02-02a.1,"3.2.2a.1. Before authorizing access to the system, CUI, or performing assigned duties, and [Assignment: organization-defined frequency] thereafter; and",,
AT-03-00-03,2. When required by system changes;,CUI,03-02-02a.2,3.2.2a.2. When required by system changes.,,
AT-03-00-04,b. Update role-based training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-02-02b.,3.2.2b. Update role-based training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,,
AT-03-00-05,c. Incorporate lessons learned from internal or external security or privacy incidents into role-based training.,NCO, ,—,,
AT-04-00-00,AT-4  Training Records,NCO, ,—,,
AT-04-00-01,"a. Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and",NCO, ,—,,
AT-04-00-02,b. Retain individual training records for [Assignment: organization-defined time period].,NCO, ,—,,
AU-01-00-03,AU-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
AU-01-00-04,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only audit and accountability policy)
Removed ODP to assign ""personnel or roles""",
AU-01-00-05,1. [Selection (one or more): organization-level; mission/business process-level; system-level] audit and accountability policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
AU-01-00-06,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
AU-01-00-07,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
AU-01-00-08,2. Procedures to facilitate the implementation of the audit and accountability policy and the associated audit and accountability controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only audit and accountability procedures),
AU-01-00-09,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the audit and accountability policy and procedures; and",NCO, ,—,,
AU-01-00-10,c. Review and update the current audit and accountability:,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only audit and accountability),
AU-01-00-11,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
AU-01-00-12,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
AU-02-00-00,AU-2  Event Logging,CUI,03-03-01:,3.3.1  Event Logging,,
AU-02-00-01,a. Identify the types of events that the system is capable of logging in support of the audit function  [Assignment: organization-defined event types that the system is capable of logging];,NFO, ,—,,
AU-02-00-02,b. Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged;,NCO, ,—,,
AU-02-00-03,c. Specify the following event types for logging within the system  [Assignment: organization-defined event types (subset of the event types defined in AU-2a.) along with the frequency of (or situation requiring) logging for each identified event type];,CUI,03-03-01a.,3.3.1a. Specify the following event types for logging within the system  [Assignment: organization-defined event types].,"Removed extraneous references in ODP, removed ""frequency of (or situation requiring) logging for each identified event type""",
AU-02-00-04,d. Provide a rationale for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents; and,NCO, ,—,,
AU-02-00-05,e. Review and update the event types selected for logging [Assignment: organization-defined frequency].,CUI,03-03-01b.,3.3.1b. Review and update the event types selected for logging [Assignment: organization-defined frequency].,,
AU-03-00-00,AU-3  Content of Audit Records,CUI,03-03-02:,3.3.2  Audit Record Content,,
AU-03-00-01,Ensure that audit records contain information that establishes the following:,CUI,03-03-02.,"3.3.2. Include the following content in audit records: what type of event occurred; when and where the event occurred; source and outcome of the event; identity of individuals, subjects, objects, or entities associated with the event; and [Assignment: organization-defined additional information].","Combined multiple control items  AU-3, AU-3a., AU-3b., AU-3c., AU-3d, AU-3e., AU-3f., AU-3(1).",
AU-03-00-02,a. What type of event occurred;,CUI,03-03-02.,"3.3.2. Include the following content in audit records: what type of event occurred; when and where the event occurred; source and outcome of the event; identity of individuals, subjects, objects, or entities associated with the event; and [Assignment: organization-defined additional information].","Combined multiple control items  AU-3, AU-3a., AU-3b., AU-3c., AU-3d, AU-3e., AU-3f., AU-3(1).",
AU-03-00-03,b. When the event occurred;,CUI,03-03-02.,"3.3.2. Include the following content in audit records: what type of event occurred; when and where the event occurred; source and outcome of the event; identity of individuals, subjects, objects, or entities associated with the event; and [Assignment: organization-defined additional information].","Combined multiple control items  AU-3, AU-3a., AU-3b., AU-3c., AU-3d, AU-3e., AU-3f., AU-3(1).",
AU-03-00-04,c. Where the event occurred;,CUI,03-03-02.,"3.3.2. Include the following content in audit records: what type of event occurred; when and where the event occurred; source and outcome of the event; identity of individuals, subjects, objects, or entities associated with the event; and [Assignment: organization-defined additional information].","Combined multiple control items  AU-3, AU-3a., AU-3b., AU-3c., AU-3d, AU-3e., AU-3f., AU-3(1).",
AU-03-00-05,d. Source of the event;,CUI,03-03-02.,"3.3.2. Include the following content in audit records: what type of event occurred; when and where the event occurred; source and outcome of the event; identity of individuals, subjects, objects, or entities associated with the event; and [Assignment: organization-defined additional information].","Combined multiple control items  AU-3, AU-3a., AU-3b., AU-3c., AU-3d, AU-3e., AU-3f., AU-3(1).",
AU-03-00-06,e. Outcome of the event; and,CUI,03-03-02.,"3.3.2. Include the following content in audit records: what type of event occurred; when and where the event occurred; source and outcome of the event; identity of individuals, subjects, objects, or entities associated with the event; and [Assignment: organization-defined additional information].","Combined multiple control items  AU-3, AU-3a., AU-3b., AU-3c., AU-3d, AU-3e., AU-3f., AU-3(1).",
AU-03-00-07,"f. Identity of any individuals, subjects, or objects/entities associated with the event.",CUI,03-03-02.,"3.3.2. Include the following content in audit records: what type of event occurred; when and where the event occurred; source and outcome of the event; identity of individuals, subjects, objects, or entities associated with the event; and [Assignment: organization-defined additional information].","Combined multiple control items  AU-3, AU-3a., AU-3b., AU-3c., AU-3d, AU-3e., AU-3f., AU-3(1).",
AU-03-01-00,AU-3(1)  Content of Audit Records | Additional Audit Information,CUI,03-03-02:,3.3.2  Audit Record Content,,
AU-03-01-01,Generate audit records containing the following additional information  [Assignment: organization-defined additional information].,CUI,03-03-02.,"3.3.2. Include the following content in audit records: what type of event occurred; when and where the event occurred; source and outcome of the event; identity of individuals, subjects, objects, or entities associated with the event; and [Assignment: organization-defined additional information].","Combined multiple control items  AU-3, AU-3a., AU-3b., AU-3c., AU-3d, AU-3e., AU-3f., AU-3(1).",
